,actors,rank,score,title,type
50,"['鲁迪·杨布拉德', '达利娅·埃尔南德斯', '乔纳森·布雷维尔', '莫里斯·博德耶洛海德', '劳尔·特鲁希洛', '赫拉多·塔拉塞纳', '卡洛斯·伊米里奥·巴厄兹', '阿米尔卡尔·拉米瑞兹', '伊斯雷尔·康特雷拉斯', '伊斯雷尔·里奥斯', '玛利亚·迪亚兹', '埃斯皮里迪恩·阿科斯塔·卡奇', '梅拉·萨布罗', '伊阿祖娅·拉里奥斯', '艾贝尔·伍尔里奇']",51,8.5,启示,"['动作', '冒险', '剧情']"
51,"['三船敏郎', '山田五十铃', '志村乔', '千秋实']",52,8.5,蜘蛛巢城,"['动作', '剧情', '奇幻', '惊悚', '战争']"
52,"['徐枫', '石隽', '白鹰', '田鹏', '曹健', '苗天', '张冰玉', '薛汉', '乔宏']",53,8.5,侠女,"['剧情', '动作', '武侠', '古装']"
53,"['罗伯特·德尼罗', '查尔斯·格罗丁', '亚非特·科托']",54,8.5,午夜狂奔,"['动作', '冒险', '喜剧', '犯罪', '惊悚']"
54,"['山寺宏一', '筱原惠美', '青野武', '关俊彦', '乡里大辅']",55,8.5,兽兵卫忍风帖,"['动画', '动作', '冒险', '奇幻', '惊悚']"
55,"['堤真一', '远山景织子', '堀部圭亮', '大杉涟', '平泉成']",56,8.5,盗信情缘,"['犯罪', '剧情', '动作', '喜剧']"
56,"['李小龙', '田俊', '解元', '伊鲁山度', '池汉载', '卡里姆·阿卜杜尔-贾巴尔']",57,8.5,死亡的游戏,['动作']
57,"['海诺·费尔希', '尼科莱特·克雷比茨', '塞巴斯蒂安·科赫', '亚历山德拉·玛丽亚·拉娜', '克劳迪亚·米歇尔森', '菲力克斯·伊特纳', '穆罕默德·库尔图卢斯']",58,8.5,通往自由的通道,"['动作', '剧情', '历史', '惊悚']"
58,"['迟重瑞', '王伯昭', '张闽', '赵静', '朱碧云']",59,8.5,笔中情,"['动作', '爱情', '古装']"
59,"['塔伦·埃格顿', '科林·费尔斯', '塞缪尔·杰克逊', '迈克尔·凯恩', '马克·斯特朗', '索菲·库克森', '索菲亚·波多拉', '马克·哈米尔', '杰克·达文波特', '萨曼塔·沃马克', '汉娜·奥斯特罗姆', '约诺·戴维斯', '亚历克斯·尼科洛夫', '维利贝·托皮奇', '杰夫·贝尔', '艾德里安·奎因顿', '乔丹·朗', '西奥·巴克利姆比格斯', '摩根·华金斯', '拉尔夫·尹爱森', '爱德华·霍尔克罗夫特', '尼古拉斯·班克斯']",60,8.4,王牌特工：特工学院,"['喜剧', '动作', '冒险']"
60,"['约翰·特拉沃尔塔', '尼古拉斯·凯奇', '琼·艾伦', '亚历桑德罗·尼沃拉', '吉娜·格申', '多米尼克·斯万', '尼克·卡萨维茨', '哈威·普雷斯内尔', '科鲁姆·费奥瑞', '约翰·卡洛·林奇', '希·庞德', '罗伯特·维斯多姆', '赵牡丹', '詹姆斯·丹顿', '马特·罗斯', '克里斯·鲍尔', '迈尔斯·杰弗里', '大卫·麦克库利', '托马斯·简', '汤米·弗拉纳根', '达纳·史密斯', '罗密·温莎', '保罗?希普', '柯克·鲍兹', '劳伦·辛克莱尔', '本·里德', '丽莎·博伊尔', '琳达·霍夫曼', '丹尼·马斯特森', '迈克尔·罗查', '麦克·韦柏', '梅根·保罗', '诺姆·卡普顿']",61,8.4,变脸,"['动作', '科幻', '犯罪', '惊悚']"
61,"['范·迪塞尔', '保罗·沃克', '道恩·强森', '乔丹娜·布鲁斯特', '泰瑞斯·吉布森', '卢达克里斯', '马特·斯查尔兹', '姜成镐', '盖尔·加朵', '埃尔莎·帕塔奇', '乔昆姆·德·阿尔梅达', '迈克尔·厄尔比']",62,8.4,速度与激情5,"['动作', '犯罪']"
62,"['陈冠希', '余文乐', '曾志伟', '黄秋生', '吴镇宇', '刘嘉玲', '胡军', '张耀扬', '杜汶泽', '连凯', '廖启智', '惠英红']",63,8.4,无间道2,"['动作', '犯罪', '剧情', '惊悚']"
63,"['基努·里维斯', '凯瑞-安·莫斯', '劳伦斯·菲什伯恩', '雨果·维文', '莫妮卡·贝鲁奇', '贾达·萍克·史密斯', '格洛丽亚·福斯特', '邹兆龙', '朗贝尔·维尔森']",64,8.4,黑客帝国2：重装上阵,"['动作', '科幻']"
64,"['杰西卡·阿尔芭', '布鲁斯·威利斯', '克里夫·欧文', '本尼西奥·德尔·托罗', '罗莎里奥·道森', '布莱特妮·墨菲', '米基·洛克', '阿丽克西斯·布莱德尔', '乔什·哈奈特', '卡拉·古奇诺', '戴文青木', '迈克·克拉克·邓肯', '伊莱贾·伍德', '尼克·斯塔尔']",65,8.4,罪恶之城,"['动作', '犯罪', '惊悚']"
65,"['罗素·克劳', '杰昆·菲尼克斯', '康妮·尼尔森', '理查德·哈里斯', '杰曼·翰苏', '奥列佛·里德', '德里克·雅各比']",66,8.4,角斗士,"['剧情', '动作', '历史', '冒险']"
66,"['刘德华', '刘青云', '蒙嘉慧', '李子雄', '许绍雄', '林雪', '黄卓玲', '林伟健', '罗永昌']",67,8.4,暗战,"['动作', '剧情', '犯罪']"
67,"['刘青云', '安志杰', '林家栋', '林熙蕾', '李国麟', '李彩宁 ', '陈慧珊', '林雪', '张兆辉', '刘锦玲', '郭少芸', '郑保瑞']",68,8.4,神探,"['动作', '犯罪', '惊悚']"
68,"['河正宇', '金允石', '郑满植', '李哲民 ', '李艾']",69,8.4,黄海,"['剧情', '动作', '犯罪']"
69,"['塞缪尔·杰克逊', '凯文·史派西', '大卫·摩斯', '朗·瑞弗金', '保罗·吉亚玛提', '约翰·斯宾塞']",70,8.4,王牌对王牌,"['动作', '犯罪', '剧情', '悬疑', '惊悚']"
70,"['阿尔·帕西诺', '罗伯特·德尼罗', '方·基默', '强·沃特', '汤姆·塞兹摩尔', ' 戴安·维诺拉', '艾米·布伦尼曼', '艾什莉·贾德', '麦凯尔泰·威廉逊', '韦斯·斯塔迪', '泰德·拉文', '丹尼斯·海斯伯特', '威廉·菲德内尔', '娜塔莉·波特曼', '汤姆·诺南', '凯文·盖奇', '汉克·阿扎利亚', '苏珊·泰勒', '丹尼·特雷霍', '亨利·罗林斯', '杰瑞·特林伯']",71,8.4,盗火线,"['剧情', '动作', '犯罪', '惊悚']"
71,"['岩田光央', '佐佐木望', '小山茉美', '玄田哲章', '北村弘一', '池水通洋']",72,8.4,阿基拉,"['动作', '科幻', '动画']"
